sheet_row,title,eshop_url,status
174,Street Fighter 6 Year 2 Ultimate Pass (DLC),https://www.nintendo.com/us/store/products/street-fighter-6-year-2-ultimate-pass-dlc-switch/,NOT FOUND — check manually
175,Street Fighter 6 Year 2 Character Pass (DLC),https://www.nintendo.com/us/store/products/street-fighter-6-year-2-character-pass-dlc-switch/,NOT FOUND — check manually
176,Ultimate Sheep Raccoon,https://www.nintendo.com/us/store/products/ultimate-sheep-raccoon-switch/,verified
177,Street Fighter 6 Year 3 Ultimate Pass (DLC),https://www.nintendo.com/us/store/products/street-fighter-6-year-3-ultimate-pass-dlc-switch/,NOT FOUND — check manually
178,Street Fighter 6 Year 4 Ultimate Pass (DLC),https://www.nintendo.com/us/store/products/street-fighter-6-year-4-ultimate-pass-dlc-switch/,NOT FOUND — check manually
179,Street Fighter 6 Year 3 Character Pass (DLC),https://www.nintendo.com/us/store/products/street-fighter-6-year-3-character-pass-dlc-switch/,NOT FOUND — check manually
180,Street Fighter 6 Year 4 Character Pass (DLC),https://www.nintendo.com/us/store/products/street-fighter-6-year-4-character-pass-dlc-switch/,NOT FOUND — check manually
181,Roots of Pacha,https://www.nintendo.com/us/store/products/roots-of-pacha-switch/,verified
182,Disney Dreamlight Valley: A Rift in Time (DLC),https://www.nintendo.com/us/store/products/disney-dreamlight-valley-a-rift-in-time-dlc-switch/,NOT FOUND — check manually
183,Disney Dreamlight Valley: Wishblossom Ranch (DLC),https://www.nintendo.com/us/store/products/disney-dreamlight-valley-wishblossom-ranch-dlc-switch/,NOT FOUND — check manually
